store,category,domain,website,x_link,hunter_domain_search,linkedin_search,channel,note,quick_check_command,exact_pitch,best_email,public_emails,contact_pages_checked,linkedin_profiles_found,x_profiles_found,instagram_profiles_found,facebook_profiles_found,tiktok_profiles_found,youtube_profiles_found,enrichment_status,crawl_notes,email_confidence,email_source_url,public_profile_links,profile_status
Ridge,Apparel & eyewear,ridge.com,https://ridge.com,https://x.com/SeanEcom,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Ridge%20founder%20ecommerce,manual_dm,"Sean Frank (@SeanEcom) — posts about payments constantly. DM, don't email",bun packages/audit/src/cli.ts readiness ridge.com --max-pages 3 --skip-checkout,"Hey Sean Frank, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Ridge, I’d look at variant selection, size/color choices, and the cart-to-checkout path. I’m running 20 founding audits at $99: readiness score, order classification, and dispute exposure. Ten minutes of setup. Want me to run ridge.com?",support@ridge.com,support@ridge.com; pr@ridge.com,https://ridge.com/contact-us; https://ridge.com/pages/contact; https://ridge.com/pages/contact-us; https://ridge.com/pages/contact-us-1; https://ridge.com/support,,,,,,,email+profile,,site_crawl,https://ridge.com/contact-us,https://x.com/SeanEcom,direct_profile_found
True Classic,Apparel & eyewear,trueclassictees.com,https://trueclassictees.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=True%20Classic%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness trueclassictees.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For True Classic, I’d start with variant selection, size/color choices, and the cart-to-checkout path on trueclassictees.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking True Classic?",wholesale@trueclassic.com,wholesale@trueclassic.com; support@trueclassic.com; support@trueclassictees.com,https://trueclassictees.com/contact; https://trueclassictees.com/contact-us; https://trueclassictees.com/pages/contact; https://trueclassictees.com/pages/contact-us; https://trueclassictees.com/pages/contact-us-1,,https://twitter.com/trueclassictees,https://instagram.com/trueclassic,https://facebook.com/trueclassictees,https://tiktok.com/@trueclassic,https://youtube.com/channel/UC4-Wb1Zm3oaZsNgZ5PJHW5w,email+profile,,site_crawl,https://trueclassictees.com/contact,https://twitter.com/trueclassictees; https://instagram.com/trueclassic; https://facebook.com/trueclassictees; https://tiktok.com/@trueclassic; https://youtube.com/channel/UC4-Wb1Zm3oaZsNgZ5PJHW5w,direct_profile_found
Cuts Clothing,Apparel & eyewear,cutsclothing.com,https://cutsclothing.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Cuts%20Clothing%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness cutsclothing.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Cuts Clothing, I’d start with variant selection, size/color choices, and the cart-to-checkout path on cutsclothing.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Cuts Clothing?",partnerships@cutsclothing.com,partnerships@cutsclothing.com; info@cutsclothing.com,https://cutsclothing.com/contact; https://cutsclothing.com/contact-us; https://cutsclothing.com/pages/contact; https://cutsclothing.com/pages/contact-us; https://cutsclothing.com/pages/contact-us-1,,https://x.com/cutsclothing,https://instagram.com/cuts,https://facebook.com/ShopCutsClothing,https://tiktok.com/@cuts,https://youtube.com/CUTSClothing,email+profile,,site_crawl,https://cutsclothing.com/contact,https://x.com/cutsclothing; https://instagram.com/cuts; https://facebook.com/ShopCutsClothing; https://tiktok.com/@cuts; https://youtube.com/CUTSClothing,direct_profile_found
Fresh Clean Threads,Apparel & eyewear,freshcleanthreads.com,https://freshcleanthreads.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Fresh%20Clean%20Threads%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness freshcleanthreads.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Fresh Clean Threads, I’d start with variant selection, size/color choices, and the cart-to-checkout path on freshcleanthreads.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Fresh Clean Threads?",support@freshcleantees.com,support@freshcleantees.com,,,https://x.com/FreshCleanThrds,https://instagram.com/freshcleanthreads,https://facebook.com/FreshCleanThreads,,,email+profile,,site_crawl,https://freshcleanthreads.com,https://x.com/FreshCleanThrds; https://instagram.com/freshcleanthreads; https://facebook.com/FreshCleanThreads,direct_profile_found
Western Rise,Apparel & eyewear,westernrise.com,https://westernrise.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Western%20Rise%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness westernrise.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Western Rise, I’d start with variant selection, size/color choices, and the cart-to-checkout path on westernrise.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Western Rise?",help@westernrise.com,help@westernrise.com,,,,,,,,email+profile,,site_crawl,https://westernrise.com,https://www.linkedin.com/search/results/people/?keywords=Western%20Rise%20founder%20ecommerce,linkedin_search_only
Birddogs,Apparel & eyewear,birddogs.com,https://birddogs.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Birddogs%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness birddogs.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Birddogs, I’d start with variant selection, size/color choices, and the cart-to-checkout path on birddogs.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Birddogs?",help@birddogs.com,help@birddogs.com,https://birddogs.com/contact; https://birddogs.com/contact-us; https://birddogs.com/pages/contact; https://birddogs.com/pages/contact-us; https://birddogs.com/pages/contact-us-1,,,https://instagram.com/birddogs,https://facebook.com/birddogsshorts,,,email+profile,,medium,https://www.facebook.com/birddogsshorts/,https://instagram.com/birddogs; https://facebook.com/birddogsshorts,direct_profile_found
Ten Thousand,Apparel & eyewear,tenthousand.cc,https://tenthousand.cc,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Ten%20Thousand%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness tenthousand.cc --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Ten Thousand, I’d start with variant selection, size/color choices, and the cart-to-checkout path on tenthousand.cc. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Ten Thousand?",support@tenthousand.cc,support@tenthousand.cc,https://tenthousand.cc/contact-us; https://tenthousand.cc/pages/contact; https://tenthousand.cc/pages/contact-us-1; https://tenthousand.cc/support; https://tenthousand.cc/pages/support,,,https://instagram.com/tenthousand.cc,,,https://youtube.com/channel/UCBoIXCPtBt-2Oy99tHhJ_NQ,email+profile,,site_crawl,https://tenthousand.cc/contact-us,https://instagram.com/tenthousand.cc; https://youtube.com/channel/UCBoIXCPtBt-2Oy99tHhJ_NQ,direct_profile_found
Rhone,Apparel & eyewear,rhone.com,https://rhone.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Rhone%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness rhone.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Rhone, I’d start with variant selection, size/color choices, and the cart-to-checkout path on rhone.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Rhone?",press@rhone.com,press@rhone.com; npress@rhone.com,https://rhone.com/contact; https://rhone.com/contact-us; https://rhone.com/pages/contact; https://rhone.com/pages/contact-us; https://rhone.com/pages/contact-us-1,,,https://instagram.com/rhone,https://facebook.com/RhoneApparel,https://tiktok.com/@rhone,,email+profile,,site_crawl,https://rhone.com/contact,https://instagram.com/rhone; https://facebook.com/RhoneApparel; https://tiktok.com/@rhone,direct_profile_found
Mack Weldon,Apparel & eyewear,mackweldon.com,https://mackweldon.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Mack%20Weldon%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness mackweldon.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Mack Weldon, I’d start with variant selection, size/color choices, and the cart-to-checkout path on mackweldon.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Mack Weldon?",hello@mackweldon.com,hello@mackweldon.com; info@mackweldon.com; press@mackweldon.com,https://mackweldon.com/contact; https://mackweldon.com/contact-us; https://mackweldon.com/pages/contact; https://mackweldon.com/pages/contact-us; https://mackweldon.com/pages/contact-us-1,,https://twitter.com/mackweldon,https://instagram.com/mackweldon,https://facebook.com/MackWeldonUnderwear,,https://youtube.com/user/mackweldon/featured,email+profile,,site_crawl,https://mackweldon.com/contact,https://twitter.com/mackweldon; https://instagram.com/mackweldon; https://facebook.com/MackWeldonUnderwear; https://youtube.com/user/mackweldon/featured,direct_profile_found
Public Rec,Apparel & eyewear,publicrec.com,https://publicrec.com,,https://hunter.io/domain-search,https://www.linkedin.com/search/results/people/?keywords=Public%20Rec%20founder%20ecommerce,email_after_enrichment,,bun packages/audit/src/cli.ts readiness publicrec.com --max-pages 3 --skip-checkout,"Hi {{first_name}}, I’m testing whether AI shopping agents can actually buy from Shopify stores, not just mention them. For Public Rec, I’d start with variant selection, size/color choices, and the cart-to-checkout path on publicrec.com. If the quick public check finds something specific, use this first line: {{quick_finding}} The paid audit adds 90 days of order classification and dispute exposure. First 20 are $99. Worth checking Public Rec?",support@publicrec.com,support@publicrec.com,,,,,,,,email+profile,,high,https://publicrec.loopreturns.com/,https://www.linkedin.com/search/results/people/?keywords=Public%20Rec%20founder%20ecommerce,linkedin_search_only
